id,groupid,groupname,boardid,boardname,lat,long,status,lastupdate,note,comment
129,group4,鎌倉市,6-1,材木座三丁目17番18号,35.3076428,139.5523658,2,,田島宅塀,
130,group4,鎌倉市,6-2,材木座五丁目13番14号,35.3071189,139.5520202,4,,九品寺塀,
131,group4,鎌倉市,6-3,材木座四丁目7番,35.3066232,139.5542558,5,,材木座たぶのき公園,
132,group4,鎌倉市,6-4,材木座六丁目13番29号,35.3045741,139.5533063,6,,小杉宅塀,
133,group4,鎌倉市,6-5,材木座六丁目886番5,35.3035076,139.5547333,0,,県営材木座駐車場,
134,group4,鎌倉市,6-6,材木座六丁目15番,35.3026358,139.5527438,1,,鎌倉ウインドサーフスクール植込み,
135,group4,鎌倉市,6-7,材木座六丁目7番7号,35.3059379,139.5537585,2,,伊藤工務店ブロック塀,
136,group4,鎌倉市,7-1,材木座一丁目4番8号,35.3135427,139.5512815,1,,カネ石駐車場北側フェンス,
137,group4,鎌倉市,7-2,材木座三丁目3番7号,35.3108768,139.5504767,2,,鎌倉いずみ幼稚園フェンス,
138,group4,鎌倉市,7-3,材木座ー丁目1番,35.3070855,139.5521867,4,,JRフェンス,
139,group4,鎌倉市,7-4,材木座三丁目5番35号,35.3106391,139.5484951,5,,材木座ポンプ場フェンス,
140,group4,鎌倉市,7-5,材木座三丁目15番13号,35.3094142,139.5524082,6,,向福寺,
141,group4,鎌倉市,7-6,材木座三丁目9番23号,35.3090369,139.550076,0,,齋藤宅塀,
142,group4,鎌倉市,7-7,材木座五丁目1番7号,35.310101,139.5476747,1,,第二相羽荘塀,
143,group4,鎌倉市,8-1,扇ガ谷一丁目16番5号,35.3247227,139.5501674,2,,英勝寺前JRフェンス,
144,group4,鎌倉市,8-2,御成町18番10号,35.3196348,139.5463513,4,,市役所東側フェンス,
145,group4,鎌倉市,8-3,御成町12番18号,35.3196344,139.5492347,5,,神奈川県企業庁鎌倉水道営業所,
146,group4,鎌倉市,8-4,御成町20番21号,35.3170594,139.5462249,6,,鎌倉市福祉センター植込み,
147,group4,鎌倉市,8-5,御成町18番10号,35.3196348,139.5463513,0,,市役所北側フェンス,
148,group4,鎌倉市,8-6,佐助一丁目5番,35.3192061,139.5440702,1,,鎌倉児童ホーム駐車場フェンス,
149,group4,鎌倉市,8-7,佐助一丁目6番6号,35.3196137,139.5449008,2,,鎌倉児童ホーム植込み,
150,group4,鎌倉市,8-8,笹目町5番36号,35.3149437,139.5436208,1,,松本宅塀,
151,group4,鎌倉市,9-1,由比ガ浜二丁目1番15号,35.3151217,139.5500512,2,,京浜急行鎌倉営業所車庫塀,
152,group4,鎌倉市,9-2,由比ガ浜二丁目13番,35.3123402,139.5491628,4,,若宮大路公園,
153,group4,鎌倉市,9-3,由比ガ浜四丁目4番30号,35.3103743,139.5444326,5,,特養鎌倉静養館塀,
154,group4,鎌倉市,9-4,由比ガ浜三丁目9番12号,35.3133939,139.5426101,6,,由比ガ浜はぜ公園塀,
155,group4,鎌倉市,9-5,由比ガ浜四丁目9番,35.3105461,139.5418423,0,,鎌倉海浜公園フェンス,
